Hop,Expected,Computed,Absolute Error
0,15.197275395174575,15.19727539313546,2.0391155430843355e-09
1,16.608022228016427,16.608045982147967,2.3754131539988066e-05
2,19.81082717933574,19.810903899812836,7.672047709661456e-05
3,20.591037041193783,20.591116783149253,7.974195547078011e-05
4,21.44206121243068,21.442220928859143,0.0001597164284632413
5,25.312171300034763,25.31243070162973,0.000259401594966846
6,26.435814156629124,26.436085073422888,0.0002709167937631207
7,27.73305750919117,27.733474793646337,0.00041728445516753254
8,32.37610001189087,32.3766635861606,0.0005635742697336354
