Hop,Expected,Computed,Absolute Error
0,49.40267334847514,49.40267334854086,6.571809763045167e-11
1,57.76480624177758,57.764806239972174,1.8054038264381234e-09
2,66.51138149108466,66.5113814879642,3.1204621109282016e-09
3,67.57395066586538,67.57395066173224,4.1331418287882116e-09
4,73.17067638906347,73.17067638996036,8.968896736405441e-10
5,77.92737541740249,77.92737541555852,1.8439720861351816e-09
6,80.92634571163906,80.92634571016289,1.4761667443963233e-09
7,83.0051340176422,83.00513401344764,4.194561142867315e-09
8,87.04367056027486,87.04367056039459,1.1972645097557688e-10
9,96.52985789548754,96.52985789630893,8.213874025386758e-10
10,100.43868428367433,100.43868428301991,6.544240704897675e-10
11,106.10779987936463,106.10779987689129,2.473342419762048e-09
12,113.43497050942123,113.43497050133506,8.086175284915953e-09
13,117.70763693083488,117.70763692270287,8.13200529137248e-09
14,127.45367567532352,127.45367566983563,5.487891030497849e-09
15,137.11570132980253,137.1157013227429,7.059639983708621e-09
16,140.38174199223081,140.38174198284065,9.390163313582889e-09
17,145.85697854526228,145.8569785374565,7.805766699675587e-09
18,149.5648833336132,149.56488332595887,7.654335831830394e-09
19,153.12844778301042,153.12844777718848,5.821931381433387e-09
20,154.4604303092012,154.46043030597434,3.226858780180919e-09
21,160.94650931502028,160.94650931322232,1.7979573385673575e-09
22,166.47062052408003,166.47062052270047,1.3795613540423801e-09
23,167.93392928532992,167.93392928477903,5.508979938895209e-10
24,171.44174746345942,171.44174746564312,2.1836967789568007e-09
25,180.61614043715932,180.61614043778513,6.258176199480658e-10
26,183.77219745316208,183.7721974532908,1.2872192201029975e-10
27,186.0762513019831,186.07625130314972,1.1666259069897933e-09
28,191.48132614448116,191.48132614482603,3.4486902222852223e-10
29,201.35218023147655,201.35218022973487,1.7416823538951576e-09
