Operation,Expected,Computed,Absolute Error
0,49.40267334847514,49.402673351029435,2.554294553647196e-09
1,57.76480624177758,57.76480624657856,4.80098094612913e-09
2,66.51138149108466,66.51138149476796,3.683297222778492e-09
3,67.57395066586538,67.57395066773006,1.864677301455231e-09
4,73.17067638906347,73.17067639367649,4.613013970811153e-09
5,77.92737541740249,77.92737542156172,4.1592329580453224e-09
6,80.92634571163906,80.9263457154274,3.788343860833265e-09
7,83.0051340176422,83.00513402243854,4.796333996637259e-09
8,87.04367056027486,87.04367056507654,4.801677278010175e-09
9,96.52985789548754,96.52985790035439,4.866848257734091e-09
10,100.43868428367433,100.43868428759669,3.92235222079762e-09
11,106.10779987936463,106.10779988443831,5.073673037259141e-09
12,113.43497050942123,113.43497051284707,3.4258391679031774e-09
13,117.70763693083488,117.70763693565794,4.823064614356554e-09
14,127.45367567532352,127.45367568004393,4.720405399893934e-09
15,137.11570132980253,137.11570133704203,7.2394925609842176e-09
16,140.38174199223081,140.38174199904714,6.816321729274932e-09
17,145.85697854526228,145.8569785532601,7.997812190296827e-09
18,149.5648833336132,149.56488334290964,9.296428515881416e-09
19,153.12844778301042,153.12844779243915,9.428731573279947e-09
20,154.4604303092012,154.46043032036334,1.1162143209730857e-08
21,160.94650931502028,160.9465093247741,9.753819085744908e-09
22,166.47062052408003,166.47062053394149,9.861452099357848e-09
23,167.93392928532992,167.9339292957082,1.0378272463640315e-08
24,171.44174746345942,171.4417474748387,1.1379285069779144e-08
25,180.61614043715932,180.6161404490764,1.1917080655621248e-08
26,183.77219745316208,183.77219746335885,1.0196771427217755e-08
27,186.0762513019831,186.07625131253934,1.0556249208093504e-08
28,191.48132614448116,191.4813261549213,1.0440146525070304e-08
29,201.35218023147655,201.35218024103898,9.562427294440567e-09
