Operation,Expected,Computed,Absolute Error
0,1.7386376018041436,1.7386376085054045,6.70126087953804e-09
1,1.823425395394133,1.8234280149883995,2.619594266395353e-06
2,1.9043963030987852,1.9044051111179243,8.808019139161516e-06
3,1.8166849153251614,1.8166998162071146,1.4900881953217038e-05
4,1.8540314468126233,1.8540552699798813,2.382316725801914e-05
5,1.9328738221319033,1.9329079318582216,3.410972631834319e-05
