Hop,Expected,Computed,Absolute Error
0,14.285182022173517,14.285182022508607,3.3509017782762385e-10
1,13.769088135386248,13.769107832976971,1.9697590722955738e-05
2,16.563791686298458,16.56385529101484,6.360471638089393e-05
3,16.053888643343395,16.053950290044057,6.164670066155509e-05
4,14.468450242467311,14.468557544493189,0.00010730202587794224
5,17.216120150513206,17.216294719246854,0.0001745687336480728
6,17.787845565764584,17.78802593170662,0.00018036594203607592
7,16.83228413298002,16.832535575054692,0.00025144207467064916
8,21.48314770773754,21.483487942366683,0.00034023462914234415
