Hop,Expected,Computed,Absolute Error
0,49.03592017586578,49.035920176420845,5.550617743210751e-10
1,50.67661801200784,50.67661801212601,1.1817036238426226e-10
2,54.5473986846517,54.54739868592131,1.2696119711108622e-09
3,63.15127648337679,63.15127648561868,2.241890229015553e-09
4,64.36072390499922,64.3607239042336,7.656240086362232e-10
5,72.69094024829964,72.69094024790246,3.971791784351808e-10
6,76.22763322126023,76.2276332232016,1.941359073498461e-09
7,78.29111666985514,78.2911166745059,4.650758000934729e-09
8,85.5617511581325,85.561751164061,5.928498580942687e-09
9,92.22223677915144,92.22223678492986,5.778417744295439e-09
10,101.11948490089492,101.11948490931798,8.423057806794532e-09
11,108.73512429512989,108.73512430572288,1.0592984267532302e-08
12,116.96645266859353,116.96645267994262,1.134908700350934e-08
13,120.5047638217353,120.5047638324999,1.0764608759927796e-08
14,123.10171971575281,123.10171972652762,1.0774812153613311e-08
15,130.85725248052054,130.85725249116786,1.0647312365108519e-08
16,139.11876513392593,139.11876514273857,8.81263417795708e-09
17,149.033311411932,149.03331142165382,9.721816240926273e-09
18,153.74687050413485,153.74687051401287,9.878021955955774e-09
19,158.0950332762699,158.09503328572316,9.453259508518386e-09
20,166.08274992294787,166.0827499324062,9.458318572796998e-09
21,170.14998178522504,170.14998179430145,9.076416063180659e-09
22,179.52679771565712,179.5267977229723,7.3151795731973834e-09
23,188.25251248224424,188.25251248815488,5.910635536565678e-09
24,193.1134587286194,193.11345873317572,4.556312660497497e-09
25,200.8712983387429,200.8712983437814,5.038515382693731e-09
26,208.66218420550504,208.66218421085927,5.354223731046659e-09
27,210.59029902502843,210.59029903110502,6.076589897929807e-09
28,219.71327518514454,219.71327519208828,6.9437362526514335e-09
29,225.26054653717526,225.26054654323173,6.056467327653081e-09
