Hop,Expected,Computed,Absolute Error
0,67.0,67.0,0.0
1,75.0,75.0,0.0
2,78.0,78.0,0.0
3,79.0,79.0,0.0
4,86.0,86.0,0.0
5,90.0,90.0,0.0
6,92.0,92.0,0.0
7,97.0,97.0,0.0
8,98.0,98.0,0.0
9,107.0,107.0,0.0
