Hop,Expected,Computed,Absolute Error
0,46.435843889306305,46.43584388410096,5.205343711622845e-09
1,55.922031224518975,55.92203121644703,8.071943113918678e-09
2,59.83085761270577,59.83085760325439,9.451383675695979e-09
3,65.49997320839607,65.49997319897813,9.417945534551109e-09
4,72.82714383845267,72.82714383173779,6.71488464831782e-09
5,77.09981025986632,77.09981025267358,7.192738848971203e-09
6,86.84584900435496,86.84584899882876,5.526203494810034e-09
7,96.50787465883396,96.50787465235709,6.476867042692902e-09
8,99.77391532126224,99.77391531359648,7.665761359021417e-09
9,105.2491518742937,105.24915186294749,1.1346216410856869e-08
