Hop,Expected,Computed,Absolute Error
0,44.0,44.0,0.0
1,50.0,50.0,0.0
2,53.0,53.0,0.0
3,58.0,58.0,0.0
4,67.0,67.0,0.0
5,70.0,70.0,0.0
6,74.0,74.0,0.0
7,81.0,81.0,0.0
8,84.0,84.0,0.0
9,85.0,85.0,0.0
