Hop,Expected,Computed,Absolute Error
0,3.2411038046395984,3.2411038062182493,1.5786509877102617e-09
1,3.245659896841494,3.2456598984210254,1.5795316166133944e-09
2,2.993360144082361,2.993364427814174,4.283731812826375e-06
3,7.457834970241459,7.457848797086313,1.382684485395913e-05
4,7.34534323816856,7.345356856452223,1.3618283662530928e-05
5,7.3186902630053785,7.3187300138237,3.975081832141569e-05
6,10.058082044888192,10.058155829812463,7.37849242717914e-05
7,9.719241908820662,9.719313208056999,7.12992363371967e-05
8,8.901025516020802,8.901133524849662,0.0001080088288603065
9,12.915201231883717,12.915356178435406,0.0001549465516887949
