Operation,Expected,Computed,Absolute Error
0,10.0,10.0,0.0
1,30.0,30.0,0.0
2,150.0,150.0,0.0
3,750.0,750.0,0.0
4,3000.0,3000.0,0.0
5,15000.0,15000.0,0.0
6,60000.0,11729.0,48271.0
