Operation,Expected,Computed,Absolute Error
0,19.720755971799413,19.720755967303624,4.4957886302654515e-09
1,19.554035091544982,19.55403508709513,4.449852042398561e-09
2,21.19121154966259,21.19123951910111,2.7969438519903633e-05
3,20.94850185685317,20.94852950595321,2.764910004060539e-05
4,19.623574447930057,19.623662928037383,8.848010732620537e-05
5,23.557374418348257,23.5575330781275,0.00015865977924178765
6,23.519859785554218,23.52001819267767,0.0001584071234539408
7,21.512699120639898,21.512944032823583,0.00024491218368538625
8,23.424848374872262,23.42519650233382,0.00034812746155665764
9,24.568980502150232,24.56934563309393,0.0003651309436989436
