Hop,Expected,Computed,Absolute Error
0,49.03592017586578,49.03592017508228,7.835012638679473e-10
1,50.67661801200784,50.676618010917984,1.089858869818272e-09
2,54.5473986846517,54.54739868140335,3.2483455925103044e-09
3,63.15127648337679,63.15127647783715,5.539639857943257e-09
4,64.36072390499922,64.36072389835196,6.647255190728174e-09
5,72.69094024829964,72.69094024053416,7.76547892655799e-09
6,76.22763322126023,76.22763321503716,6.2230753883341094e-09
7,78.29111666985514,78.29111666805892,1.7962236142921029e-09
8,85.5617511581325,85.56175115721192,9.205791684507858e-10
9,92.22223677915144,92.22223678087562,1.7241745808860287e-09
10,101.11948490089492,101.11948490584388,4.948958576278528e-09
11,108.73512429512989,108.73512429841131,3.2814142514325795e-09
12,116.96645266859353,116.96645267365255,5.059021646047768e-09
13,120.5047638217353,120.50476382859523,6.859934842395887e-09
14,123.10171971575281,123.10171972273031,6.9775012434547534e-09
15,130.85725248052054,130.85725248524318,4.722636504084221e-09
16,139.11876513392593,139.11876513913376,5.207823505770648e-09
17,149.033311411932,149.03331142026724,8.335234724654583e-09
18,153.74687050413485,153.74687051113204,6.997197488090023e-09
19,158.0950332762699,158.09503328253152,6.261615226321737e-09
20,166.08274992294787,166.08274992809805,5.1501842790457886e-09
21,170.14998178522504,170.14998179022678,5.0017376906907884e-09
22,179.52679771565712,179.52679771936366,3.7065319702378474e-09
23,188.25251248224424,188.25251248438684,2.1425989871204365e-09
24,193.1134587286194,193.1134587275273,1.092104184863274e-09
25,200.8712983387429,200.8712983396759,9.329994554718724e-10
26,208.66218420550504,208.6621842070689,1.5638477179891197e-09
27,210.59029902502843,210.59029902598272,9.54287315835245e-10
28,219.71327518514454,219.71327518908436,3.9398173612426035e-09
29,225.26054653717526,225.2605465425891,5.4138524774316465e-09
