Hop,Expected,Computed,Absolute Error
0,49.03592017586578,49.03592017820249,2.3367050516753807e-09
1,50.67661801200784,50.67661801474722,2.739376725457987e-09
2,54.5473986846517,54.54739868711859,2.4668906917213462e-09
3,63.15127648337679,63.15127648639378,3.016992877746816e-09
4,64.36072390499922,64.36072390680513,1.8059154172078706e-09
5,72.69094024829964,72.69094024719705,1.102591795643093e-09
6,76.22763322126023,76.22763322070747,5.527596158572123e-10
7,78.29111666985514,78.29111666944888,4.062599145981949e-10
8,85.5617511581325,85.561751157441,6.915001904417295e-10
9,92.22223677915144,92.22223677688804,2.2634054630543687e-09
10,101.11948490089492,101.11948490004148,8.534328799214563e-10
11,108.73512429512989,108.73512429488434,2.455493586239754e-10
12,116.96645266859353,116.96645266757712,1.0164171726501081e-09
13,120.5047638217353,120.50476382097192,7.633786935912212e-10
14,123.10171971575281,123.10171971514426,6.085514314690954e-10
15,130.85725248052054,130.8572524801023,4.1825387597782537e-10
16,139.11876513392593,139.11876513370595,2.1998403099132702e-10
17,149.033311411932,149.0333114114345,4.974936018697917e-10
18,153.74687050413485,153.74687050384554,2.893045802920824e-10
19,158.0950332762699,158.09503327663498,3.650768576335395e-10
20,166.08274992294787,166.08274992309796,1.5009504750196356e-10
21,170.14998178522504,170.14998178456077,6.642721928074025e-10
22,179.52679771565712,179.52679771470258,9.545431112201186e-10
23,188.25251248224424,188.2525124802001,2.044146185653517e-09
24,193.1134587286194,193.113458726989,1.6304113614751259e-09
25,200.8712983387429,200.87129833671275,2.030134282904328e-09
26,208.66218420550504,208.6621842034507,2.054349579339032e-09
27,210.59029902502843,210.59029902405615,9.722782579046907e-10
28,219.71327518514454,219.71327518333595,1.8085870578943286e-09
29,225.26054653717526,225.26054653636731,8.079439339780947e-10
