Hop,Expected,Computed,Absolute Error
0,14.096084337012257,14.096084337363948,3.516902324918192e-10
1,13.780224581702234,13.780244293979862,1.97122776288694e-05
2,17.5861215714314,17.586185229590818,6.365815941933306e-05
3,16.967158583757644,16.967220001397642,6.141763999778505e-05
4,15.887541832522514,15.887656159979727,0.0001143274572132924
5,17.916264852878584,17.916453043657263,0.00018819077867959777
6,17.75355237419442,17.75373885586399,0.00018648166956936052
7,17.363776922162227,17.36404262421185,0.0002657020496243945
8,20.322798155790487,20.323155454004343,0.00035729821385643845
