Hop,Expected,Computed,Absolute Error
0,15.776160299070817,15.776160293927724,5.143093062542903e-09
1,14.668910029062078,14.668931016254028,2.0987191950538886e-05
2,19.363323686114335,19.36339145416487,6.776805053476664e-05
3,19.00157090950935,19.001637411486374,6.65019770238473e-05
4,18.585761928805397,18.58589344950113,0.00013152069573152403
5,22.184565765398744,22.184783688658023,0.00021792325927805223
6,23.128008864829656,23.128236055720812,0.00022719089115597058
7,23.410744971729365,23.411087271056026,0.00034229932666107743
8,25.345412957390888,25.34587874718285,0.00046578979196354453
