Hop,Expected,Computed,Absolute Error
0,67.84342498513263,67.84342498582677,6.941434094187571e-10
1,74.2245247944324,74.22452479789578,3.463384246060741e-09
2,83.52139290964045,83.5213929116672,2.0267520994821098e-09
3,85.31782542810772,85.31782543034268,2.2349553319145343e-09
4,88.08167118988003,88.08167119250899,2.628965489748225e-09
5,89.48871679007488,89.4887167911225,1.0476242096046917e-09
6,93.41668976694426,93.41668976693713,7.133849067031406e-12
7,97.9147853741496,97.91478537324689,9.027161240737769e-10
8,101.35692666011467,101.35692665940641,7.082547881509527e-10
9,109.81556424248203,109.81556424137888,1.103146018976986e-09
10,114.02634418272433,114.02634418475915,2.0348238649603445e-09
11,117.55475476991076,117.55475477508338,5.1726232186410925e-09
