Hop,Expected,Computed,Absolute Error
0,61.0,61.0,0.0
1,66.0,66.0,0.0
2,69.0,69.0,0.0
3,70.0,70.0,0.0
4,79.0,79.0,0.0
5,88.0,88.0,0.0
6,94.0,94.0,0.0
7,98.0,98.0,0.0
8,102.0,102.0,0.0
9,109.0,109.0,0.0
10,118.0,118.0,0.0
11,126.0,126.0,0.0
12,134.0,134.0,0.0
13,140.0,140.0,0.0
14,141.0,141.0,0.0
15,143.0,143.0,0.0
16,152.0,152.0,0.0
17,158.0,158.0,0.0
18,159.0,159.0,0.0
19,160.0,160.0,0.0
20,166.0,166.0,0.0
21,167.0,167.0,0.0
22,169.0,169.0,0.0
23,174.0,174.0,0.0
24,181.0,181.0,0.0
25,187.0,187.0,0.0
26,190.0,190.0,0.0
27,197.0,197.0,0.0
28,200.0,200.0,0.0
29,203.0,203.0,0.0
