Hop,Expected,Computed,Absolute Error
0,49.03592017586578,49.03592017717407,1.3082868122182845e-09
1,50.67661801200784,50.67661801434515,2.3373090130007768e-09
2,54.5473986846517,54.54739868514726,4.955609256285243e-10
3,63.15127648337679,63.151276484135806,7.590159611936542e-10
4,64.36072390499922,64.36072390674721,1.7479919733887073e-09
5,72.69094024829964,72.69094025062861,2.3289743467103108e-09
6,76.22763322126023,76.2276332241791,2.918866925938346e-09
7,78.29111666985514,78.2911166741781,4.322956215219165e-09
8,85.5617511581325,85.56175116280257,4.670070552492689e-09
9,92.22223677915144,92.22223678250285,3.3514027109049493e-09
10,101.11948490089492,101.11948490399178,3.096857881246251e-09
11,108.73512429512989,108.73512429722169,2.0917951815135893e-09
12,116.96645266859353,116.96645266942824,8.347029734068201e-10
13,120.5047638217353,120.504763821395,3.402931270102272e-10
14,123.10171971575281,123.10171971590299,1.5018031263025478e-10
15,130.85725248052054,130.85725248146144,9.409006906935247e-10
16,139.11876513392593,139.11876513643878,2.5128485958703095e-09
17,149.033311411932,149.03331141202204,9.00399754755199e-11
18,153.74687050413485,153.74687050322268,9.121663424593862e-10
19,158.0950332762699,158.09503327399418,2.275726274092449e-09
20,166.08274992294787,166.0827499214686,1.4792647107242374e-09
21,170.14998178522504,170.14998178364345,1.5815828646736918e-09
22,179.52679771565712,179.52679771439927,1.2578595942613902e-09
23,188.25251248224424,188.25251248016014,2.084107109112665e-09
24,193.1134587286194,193.11345872337054,5.248864454188151e-09
25,200.8712983387429,200.8712983335028,5.2400821459741564e-09
26,208.66218420550504,208.66218420048588,5.019160198571626e-09
27,210.59029902502843,210.59029902024253,4.7859032292763e-09
28,219.71327518514454,219.71327518042204,4.722494395537069e-09
29,225.26054653717526,225.26054653273457,4.440693146534613e-09
