Hop,Expected,Computed,Absolute Error
0,58.0,58.0,0.0
1,63.0,63.0,0.0
2,68.0,68.0,0.0
3,72.0,72.0,0.0
4,73.0,73.0,0.0
5,74.0,74.0,0.0
6,75.0,75.0,0.0
7,81.0,81.0,0.0
8,84.0,84.0,0.0
9,89.0,89.0,0.0
10,98.0,98.0,0.0
11,101.0,101.0,0.0
12,105.0,105.0,0.0
13,112.0,112.0,0.0
14,115.0,115.0,0.0
15,116.0,116.0,0.0
16,119.0,119.0,0.0
17,121.0,121.0,0.0
18,130.0,130.0,0.0
19,138.0,138.0,0.0
20,144.0,144.0,0.0
21,152.0,152.0,0.0
22,160.0,160.0,0.0
23,162.0,162.0,0.0
24,171.0,171.0,0.0
25,176.0,176.0,0.0
26,184.0,184.0,0.0
27,193.0,193.0,0.0
28,196.0,196.0,0.0
29,197.0,197.0,0.0
